detuning_khz,sample,t_ns,t_bin_ns,diag_re,diag_im,diag_re0,diag_re_over_diag_re0,phase_rad,phase_deg
-50,4,40,40,4995410,-8,5000000,0.999082,-1.6014701496e-06,-9.1757480588e-05
-50,4,50,50,4995214,-22,5000000,0.9990428,-4.40421571525e-06,-0.000252342972549
-50,4,60,60,4995415,2,5000000,0.999083,4.00367136664e-07,2.29393471866e-05
-50,4,70,70,4995203,-29,5000000,0.9990406,-5.80556986366e-06,-0.000332634650856
-50,4,80,80,4995123,-57,5000000,0.9990246,-1.14111304161e-05,-0.000653809612317
-50,4,90,90,4994141,-59,5000000,0.9988282,-1.18138434612e-05,-0.000676883370156
-50,4,100,100,4991997,54,5000000,0.9983994,1.08173141927e-05,0.000619786448907
-50,4,110,110,4992851,143,5000000,0.9985702,2.86409508237e-05,0.00164100560344
-50,4,120,120,4992685,148,5000000,0.998537,2.96433682391e-05,0.00169843989065
-50,4,130,130,4991968,179,5000000,0.9983936,3.58576016359e-05,0.0020544892372
-50,4,140,140,4990226,58,5000000,0.9980452,1.16227200927e-05,0.000665932807774
-50,4,150,150,4988283,156,5000000,0.9976566,3.12732858078e-05,0.00179182728829
-50,4,160,160,4986354,159,5000000,0.9972708,3.18870260607e-05,0.0018269920145
-50,4,169.998945269,170,4983158,165,5000000,0.9966316,3.31115328753e-05,0.00189715108696
-50,4,180,180,4982331,205,5000000,0.9964662,4.11453995899e-05,0.00235745774288
-50,4,190,190,4979531,46,5000000,0.9959062,9.23781777816e-06,0.000529287970599
-50,4,200,200,4976450,13,5000000,0.99529,2.61230395161e-06,0.000149673991232
-50,4,210,210,4972612,259,5000000,0.9945224,5.20853024056e-05,0.0029842680025
-50,4,220,220,4976604,32,5000000,0.9953208,6.43008766612e-06,0.000368416885168
-50,4,230,230,4982019,-67,5000000,0.9964038,-1.34483630022e-05,-0.000770534441387
-50,4,240,240,4985232,161,5000000,0.9970464,3.22953876458e-05,0.00185038940984
-50,4,250,250,4986337,190,5000000,0.9972674,3.8104123309e-05,0.00218320544765
-50,4,260,260,4985651,392,5000000,0.9971302,7.86256396993e-05,0.00450491731628
-50,4,270,270,4986712,222,5000000,0.9973424,4.45183118362e-05,0.00255071137926
-50,4,280,280,4986485,515,5000000,0.997297,0.000103279163212,0.00591746016369
-50,4,290,290,4987692,312,5000000,0.9975384,6.25539828027e-05,0.00358407920633
-50,4,300,300,4990878,323,5000000,0.9981756,6.47180715596e-05,0.00370807235859
-50,5,0,0,5000000,0,5000000,1,0,0
-50,5,10,10,5000001,0,5000000,1.0000002,0,0
-50,5,20,20,4995877,4,5000000,0.9991754,8.00660224421e-07,4.58744516833e-05
-50,5,30,30,4994466,13,5000000,0.9988932,2.60288086854e-06,0.000149134088343
-50,5,40,40,4994740,20,5000000,0.998948,4.00421243146e-06,0.000229424472596
-50,5,50,50,4995378,33,5000000,0.9990756,6.60610668492e-06,0.000378502032059
-50,5,60,60,4995205,19,5000000,0.999041,3.80364769812e-06,0.000217932959857
-50,5,70,70,4995307,8,5000000,0.9990614,1.60150317087e-06,9.17593725679e-05
-50,5,80,80,4995440,-11,5000000,0.999088,-2.2020082315e-06,-0.000126165778118
-50,5,90,90,4995464,21,5000000,0.9990928,4.20381369976e-06,0.000240860782856
-50,5,100,100,4994552,137,5000000,0.9989104,2.74298875987e-05,0.00157161679192
-50,5,110,110,4994986,180,5000000,0.9989972,3.60361370226e-05,0.00206471856135
-50,5,120,120,4995438,115,5000000,0.9990876,2.30210043603e-05,0.00131900639
-50,5,130,130,4995114,46,5000000,0.9990228,9.2089990336e-06,0.000527636778165
-50,5,140,140,4994965,-71,5000000,0.998993,-1.42143138131e-05,-0.000814420190162
-50,5,150,150,4994244,-27,5000000,0.9988488,-5.40622364461e-06,-0.00030975379794
-50,5,160,160,4993315,-26,5000000,0.998663,-5.20696170776e-06,-0.000298336929941
-50,5,170,170,4992664,-115,5000000,0.9985328,-2.30337951802e-05,-0.00131973925
-50,5,180,180,4991996,-50,5000000,0.9983992,-1.00160336664e-05,-0.000573876456543
-50,5,190,190,4990762,-171,5000000,0.9981524,-3.42633048687e-05,-0.00196314276115
