detuning_khz,t_ns,n_samples,diag_re_over_diag_re0_mean,diag_re_over_diag_re0_bootstrap_se,diag_re_over_diag_re0_bootstrap_lo_68,diag_re_over_diag_re0_bootstrap_hi_68,diag_re_over_diag_re0_bootstrap_lo_95,diag_re_over_diag_re0_bootstrap_hi_95,phase_rad_mean,phase_rad_bootstrap_se,phase_rad_bootstrap_lo_68,phase_rad_bootstrap_hi_68,phase_rad_bootstrap_lo_95,phase_rad_bootstrap_hi_95,phase_deg_mean,phase_deg_bootstrap_se,phase_deg_bootstrap_lo_68,phase_deg_bootstrap_hi_68,phase_deg_bootstrap_lo_95,phase_deg_bootstrap_hi_95
-50,270,5,0.9965496,0.000935241105328,0.99558812,0.99751108,0.99445796,0.99803028,-4.41931536003e-06,2.26806823904e-05,-2.81831816332e-05,1.93445509131e-05,-4.82415596951e-05,3.9402928975e-05,-0.000253208118467,0.00129950737744,-0.00161477736083,0.0011083611239,-0.00276403776766,0.00225762153072
-50,280,5,0.99664856,0.000899090637117,0.9957422,0.99755492,0.99457792,0.99808652,1.4187082261e-05,3.55176866765e-05,-2.251274941e-05,5.0886913932e-05,-5.67472391063e-05,8.51214036284e-05,0.000812859937163,0.00203501354463,-0.00128988552643,0.00291560540075,-0.00325137729981,0.00487709717414
-50,290,5,0.99679384,0.000858106581894,0.99589428,0.9976934,0.99483972,0.9980754,-1.12082020466e-05,2.78196537588e-05,-4.11853133126e-05,1.87689092193e-05,-6.46049265926e-05,4.21885224993e-05,-0.000642182673202,0.00159394874789,-0.00235974463073,0.00107537928433,-0.00370158962951,0.0024172242831
-50,300,5,0.99729056,0.000907141172538,0.99631044,0.99827068,0.99523524,0.99853396,-2.56695458328e-07,2.56640178192e-05,-2.85516537538e-05,2.93463470403e-05,-4.81996423181e-05,4.76862514014e-05,-1.47075663824e-05,0.00147043990639,-0.00163588925821,0.00168142182953,-0.00276163607887,0.0027322209461
0,0,5,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,10,5,0.99998726,3.09371342249e-07,0.99998694,0.99998758,0.99998668,0.9999879,0,0,0,0,0,0,0,0,0,0,0,0
0,20,5,0.9989543,2.2011502493e-05,0.99892994,0.998978,0.99891852,0.99900354,-2.40290878577e-07,4.35586185349e-07,-7.0078241748e-07,2.20200660326e-07,-1.08116677118e-06,6.00585014022e-07,-1.37676531979e-05,2.49572500347e-05,-4.01518748786e-05,1.26165684827e-05,-6.19462929382e-05,3.44109865423e-05
0,30,5,0.99900962,1.20236842138e-05,0.998997349462,0.99902198,0.99898516,0.99903172,-8.80913104642e-07,1.27373685765e-06,-2.20220026744e-06,4.40374058158e-07,-3.02301635233e-06,1.90180408003e-06,-5.04726030138e-05,7.29797461535e-05,-0.000126176780967,2.52315749395e-05,-0.000173206078388,0.000108965347247
0,40,5,0.9990477,1.27413637242e-05,0.99903432,0.99906108,0.99902328,0.99907212,-3.36324426829e-06,1.15600749862e-06,-4.60447985817e-06,-2.16207883975e-06,-5.8857856094e-06,-1.28121852787e-06,-0.000192699702044,6.62343507563e-05,-0.000263817262726,-0.000123877992492,-0.000337230674538,-7.34084142809e-05
0,50,5,0.99908406,4.99412266606e-06,0.9990791,0.99908896,0.99907392,0.99909332,2.80235141602e-07,1.77761270062e-06,-1.5013973139e-06,2.10190679172e-06,-2.84262332912e-06,4.24385522227e-06,1.60562908851e-05,0.000101849705354,-8.60237294588e-05,0.000120430388096,-0.000162870319504,0.0002431549931
0,60,5,0.99904164,1.84213645242e-05,0.99902078,0.9990629,0.99901654,0.99908272,5.20377524479e-07,1.65017439192e-06,-1.26125341943e-06,2.30200846839e-06,-2.70266316225e-06,3.7434182112e-06,2.98154359061e-05,9.45480281174e-05,-7.22644978297e-05,0.000131895369642,-0.000154851192642,0.000214482064454
0,70,5,0.9990512,1.07659969413e-05,0.99904014,0.9990629,0.99903304,0.99907494,3.42332386747e-06,1.72826980832e-06,1.58155931479e-06,5.26508842014e-06,-9.99682884055e-08,6.66647035055e-06,0.000196142009512,9.90225658765e-05,9.06166737868e-05,0.000301667345237,-5.72776101078e-06,0.000381960615336
0,80,5,0.99906558,4.9165084214e-06,0.99906064,0.99907058,0.99905676,0.99907632,4.12383054634e-06,2.29588966296e-06,1.56143328738e-06,6.6862278053e-06,-1.04099471835e-06,7.24677526696e-06,0.000236278085732,0.000131544787915,8.94635373581e-05,0.000383092634107,-5.96446038568e-05,0.000415209637876
0,90,5,0.9988521,1.2568251569e-05,0.99884016,0.998863963318,0.99883014,0.99887892,1.08524988456e-05,5.31046570124e-06,5.40610387824e-06,1.63589513279e-05,8.40786814965e-07,2.08642108763e-05,0.000621802381024,0.00030426727193,0.000309746935832,0.000937298868348,4.81735359677e-05,0.00119543122608
0,100,5,0.99845036,1.12027425419e-05,0.99843852,0.99846254,0.998429,0.99847172,2.61201840949e-05,8.72615207913e-06,1.72665914775e-05,3.48541016349e-05,9.19388019987e-06,4.36464801204e-05,0.00149657630874,0.000499971685523,0.000989302818235,0.0019969929224,0.000526770532802,0.0025007591015
0,110,5,0.99853784,1.1515368565e-05,0.99852592,0.99855024,0.99851852,0.99856268,3.47303634825e-05,8.94967151271e-06,2.58778684617e-05,4.35233943391e-05,1.78856193736e-05,5.35371215894e-05,0.0019899032485,0.000512778405707,0.00148269264565,0.00249370680572,0.00102477050409,0.00306745111435
